"district","village"
"Xaysetha","Siengda"
"Chanthabuly","sihorm"
"Sikhottabong","sikai"
"Sikhottabong","Sikaitha"
"Sikhottabong","Sikaithong"
"Naxaithong","sikerd"
"Naxaithong","Sikerd"
"Sikhottabong","sikhai"
"Sikhottabong","sikottoung"
"Sisattanak","simeuang"
"Hadxaifong","simmano"
"Hadxaifong","Simmano"
"Hadxaifong","Simmanoneua"
"Hadxaifong","Simmanotai"
"Sisattanak","simueang"
"Xaysetha","sisangvone"
"Xaythany","sisangvone"
"Xaysetha","Sisangvone"
"Xaysetha","sisangvone temple"
"Chanthabuly","sisavad"
"Chanthabuly","sisavard"
"Chanthabuly","sisavat"
"Chanthabuly","Sisavat"
"Chanthabuly","Sisavath"
"Sikhottabong","sisomsuen"
"Sikhottabong","sithannuea"
"Hadxaifong","sithantai"
"Hadxaifong","Sithantai"
"Sikhottabong","sitharnnuea"
"Hadxaifong","Sitharntai"
"Chanthabuly","sitone"
"Xaythany","sivialy"
"Xaythany","sivilai"
"Xaythany","Sivilai"
"Chanthabuly","sivilay"
"Xaythany","sivilay"
"Xaythany","Sivilay"
"Xaysetha","sokkham"
"Xaythany","sokkham"
"Xaysetha","Sokkham"
"Xaysetha","soknoy"
"Xaysetha","Soknoy"
"Sisattanak","sokpaluang"
"Sisattanak","Sokpaluang"
"Xaysetha","sokyai"
"Xaysetha","somekay"
"Hadxaifong","somhong"
"Xaysetha","somsamai"
"Xaythany","somsamai"
"Xaythany","Somsamai"
"Xaysetha","somsanga"
"Xaysetha","Somsanga"
"Xaysetha","somsangar"
"Hadxaifong","somsanouj"
"Hadxaifong","somsanouk"
"Hadxaifong","Somsanouk"
"Xaythany","Somsanouk"
"Pakngeum district","somsavad"
"Xaysetha","somsavan"
"Xaythany","somsavan"
"Xaysetha","somsavang"
"Xaythany","somsavang"
"Xaythany","somsavanh"
"Xaythany","Somsavanh"
"Hadxaifong","somvang"
"Hadxaifong","Somvang"
"Hadxaifong","somvang neua"
"Hadxaifong","somvangnuea"
"Hadxaifong","somvangtai"
"Hadxaifong","Somvangtai"
"Hadxaifong","somvannuea"
"Hadxaifong","somvng"
"Naxaithong","songpeuay"
"Naxaithong","Songpieuy"
"Sisattanak","souanmone"
"Sisattanak","Souanmone"
"Hadxaifong","suanmone"
"Sisattanak","suanmone"
"Sikhottabong","sumket"
"Sikhottabong","Sumket"
"Sikhottabong","sungjien"
"Sikhottabong","Sykaitha"
"Sikhottabong","Sykaitong"
"Naxaithong","sykert"
"Naxaithong","Sykert"
"Xaythany","tanmixai"
"Xaysetha","Tanmixay"
"Xaythany","Tanmixay"
"Sangthong","Taohai"
"Sikhottabong","tardthong"
"Sikhottabong","Tardthong"
"Xaythany","tarmmixay"
"Pakngeum district","tarngkhong"
"Xaythany","tarnmixai"
"Xaythany","tarnmixay"
"Xaythany","Tarnmixay"
"Sikhottabong","Tatthong"
"Hadxaifong","Thadeau"
"Hadxaifong","thadeua"
"Hadxaifong","Thadeua"
"Xaythany","thadindaeng"
"Xaythany","Thadindaeng"
"Hadxaifong","thaduea"
"Hadxaifong","thakaek"
"Hadxaifong","Thakhaek"
"Pakngeum district","thakhokhai"
"Pakngeum district","thakokhai"
"Hadxaifong","thamouang"
"Hadxaifong","thamuan"
"Hadxaifong","thamuang"
"Hadxaifong","Thamuang"
"Hadxaifong","Thana"
"Xaythany","thanak"
"Sangthong","Thanakam"
"Hadxaifong","thanalaeng"
"Hadxaifong","Thanalaeng"
"Sisattanak","thanark"
"Xaythany","thangon"
"Xaythany","Thangon"
"Xaythany","thangone"
"Xaythany","thanmexay"
"Hadxaifong","Thapha"
"Sisattanak","thaphalanxai"
"Sisattanak","thaphalanxay"
"Sisattanak","Thaphalanxay"
"Sisattanak","thaphalarnsay"
"Xaysetha","thasommor"
"Xaythany","Thasommor"
"Sisattanak","Thatkao"
"Sisattanak","thatkhao"
"Xaythany","thatkhao"
"Xaysetha","thatlouang"
"Xaysetha","thatlouangkang"
"Xaysetha","thatlouangtai"
"Xaysetha","thatluang"
"Xaysetha","Thatluang"
"Xaysetha","Thatluang tai"
"Xaysetha","thatluangkang"
"Xaysetha","Thatluangkang"
"Xaysetha","Thatluangneua"
"Xaysetha","thatluangnuea"
"Pakngeum district","thatluangtai"
"Sisattanak","thatluangtai"
"Xaysetha","thatluangtai"
"Xaysetha","Thatluangtai"
"Hadxaifong","Thinphia"
"Hadxaifong","thinphian"
"Hadxaifong","Thinthaen"
"Pakngeum district","Thinthieng"
"Hadxaifong","thinthome"
"Hadxaifong","Thintom"
"Sisattanak","thongkang"
"Sisattanak","Thongkang"
"Chanthabuly","thongkhankham"
"Xaythany","thongkhankham"
"Chanthabuly","Thongkhankham"
"Chanthabuly","thongkhunkham"
"Xaythany","thongmang"
"Xaythany","Thongmang"
"Sisattanak","thongphanthog"
"Sisattanak","thongphanthong"
"Sisattanak","Thongphanthong"
"Sikhottabong","thongpong"
"Sikhottabong","Thongpong"
"Chanthabuly","thongsanang"
"Chanthabuly","thongsangnagn"
"Chanthabuly","thongsangnang"
"Chanthabuly","Thongsangnang"
"Chanthabuly","thongthoum"
"Chanthabuly","thongtoum"
"Chanthabuly","Thongtoum"
"Chanthabuly","thongtoum temple"
"Chanthabuly","Thongtoum temple"
"Chanthabuly","thongxangnang"
NA,"thuay"
"Xaythany","tounaein"
"Xaythany","Tthanak"
"Sangthong","Vangma"
"Xaysetha","vangsaiy"
"Xaysetha","vangxai"
"Xaysetha","Vangxaiy"
"Hadxaifong","Vasphachaosang"
"Chanthabuly","vatchan"
"Sisattanak","vatnak"
"Chanthabuly","Vatnak"
"Sisattanak","vatnak temple"
"Sisattanak","vatnaknoy"
"Sisattanak","vatnark"
"Sisattanak","Vatnark"
"Hadxaifong","Vatphongern"
"Sikhottabong","vattai"
"Sikhottabong","vattainoy"
"Sikhottabong","vattaithong"
"Sikhottabong","vattaiyai"
"Sikhottabong","Vattaiyai"
"Pakngeum district","vernkabao"
"Pakngeum district","Vernkabao"
"Pakngeum district","Vernkan"
"Xaythany","vernkham"
"Xaythany","Vernkham"
"Xaythany","Vernthan"
"Xaysetha","vienchalern"
"Xaysetha","viengchalern"
"Xaysetha","Viengchalern"
"Xaysetha","Viengchaleurn"
"Xaythany","viengkeo"
"Xaythany","Viengkeo"
"Sikhottabong","viengkham"
"Sikhottabong","Viengkham"
"Sikhottabong","viengsavan"
"Sikhottabong","Viengsavan"
"Chanthabuly","Wat Mixay"
"Hadxaifong","Wat Phoxay"
"Sisattanak","watnak"
"Sisattanak","watsop"
"Sisattanak","Watsop"
"Sikhottabong","Wattay"
"Xaysetha","xai"
"Xaythany","xai"
"Xaythany","Xai"
"Xaythany","xaimoungkhoun"
"Xaythany","xaisavang"
"Xaythany","Xaisavang"
"Xaythany","xaisomboun"
"Xaythany","xang"
"Xaythany","xangkhou"
"Xaythany","Xangkhou"
"Sisattanak","xangwery"
"Xaysetha","xay"
"Xaythany","xay"
"Xaythany","Xay"
"Naxaithong","xaymoungkhoun"
"Naxaithong","Xaymoungkhoun"
"Naxaithong","xaymounkhoun"
"Xaythany","xaynameuang"
"Sisattanak","Xaysakan"
"Xaythany","xaysanga"
"Sisattanak","xaysatharn"
"Xaythany","xaysavang"
"Xaysetha","xaysomboun"
"Xaythany","xaysomboun"
"Xaythany","Xaysomboun"
"Hadxaifong","xeingda"
"Xaysetha","xiengda"
"Xaysetha","Xiengda"
"Hadxaifong","Xiengkhone"
"Hadxaifong","xiengkhuan"
"Hadxaifong","Xiengkhuan"
"Pakngeum district","xienglaetha"
"Pakngeum district","xienglaethai"
"Chanthabuly","xiengyeun"
"Chanthabuly","Xiengyeun"
"Chanthabuly","xiengyuen"
"Xaysetha","Xokkham"
"Xaysetha","Xoknoy"
"Xaysetha","Xokyai"
"Naxaithong","Yerk"
"Xaysetha","zoknoy"
"Hadxaifong",NA
"Naxaithong",NA
"Sangthong",NA
"Sikhottabong",NA
"Sisattanak",NA
"Xaysetha",NA
"Xaythany",NA
NA,NA
